label,quiz_keys,country,region,2026-07-18,2026-09-12,2026-12-05,avg_sailing_cats,min_sailing_cats,status
Aeolian Islands,Aeolian Islands,IT,20,50,50,50,50.0,50,OK
Algarve,Algarve | Portimao,PT,,26,25,29,26.7,25,OK
Amalfi Coast,Amalfi Coast | Naples | Gulf of Naples,IT,18,46,46,46,46.0,46,OK
Antalya,Antalya,TR,12,0,0,0,0.0,0,DEAD
Azores,Azores,PT,,1,4,1,2.0,1,THIN
Bahamas,Bahamas | Abacos | Nassau | Exumas | Eleuthera,BS,28,15,11,7,11.0,7,OK
Balearic Islands,Balearic Islands,ES,13,46,44,48,46.0,44,OK
Barcelona,Barcelona | Costa Brava,ES,46,16,16,18,16.7,16,OK
Biograd,Biograd,HR,2,6,5,10,7.0,5,OK
Bodrum,Bodrum,TR,25,3,3,4,3.3,3,OK
British Virgin Islands,British Virgin Islands | BVI | Tortola | Virgin Gorda | Jost Van Dyke | Anegada,VG,28,50,50,50,50.0,50,OK
Canary Islands,Canary Islands | Tenerife,ES,14,2,3,13,6.0,2,OK
Chalkidiki,Chalkidiki,GR,8,12,3,2,5.7,2,OK
Corfu,Corfu,GR,7,50,42,50,47.3,42,OK
Corsica,Corsica,IT,15,48,48,0,32.0,0,OK
Costa Blanca,Costa Blanca,ES,48,12,15,4,10.3,4,OK
Crete,Crete,GR,9,32,10,41,27.7,10,OK
Cyclades,Cyclades | Saronic Gulf | Athens | Attica,GR,10,44,43,48,45.0,43,OK
Dodecanese,Dodecanese,GR,9,50,29,44,41.0,29,OK
Dubrovnik & South Dalmatia,Dubrovnik & South Dalmatia | Dubrovnik | South Dalmatia,HR,6,28,9,38,25.0,9,OK
Fethiye,Fethiye,TR,26,50,50,50,50.0,50,OK
French Polynesia,French Polynesia | Bora Bora | Papeete | Tahiti | Raiatea,PF,32,35,50,50,45.0,35,OK
French Riviera (Côte d'Azur),French Riviera (Côte d'Azur),IT,15,48,48,0,32.0,0,OK
Galicia,Galicia,ES,29,10,17,17,14.7,10,OK
Gocek,Gocek | Göcek,TR,26,50,47,50,49.0,47,OK
Ibiza,Ibiza,ES,62,39,42,38,39.7,38,OK
Ionian Islands,Ionian Islands | Ionian,GR,7,50,50,50,50.0,50,OK
Istanbul,Istanbul,TR,49,0,0,0,0.0,0,DEAD
Istria,Istria | Istria & Kvarner,HR,1,41,32,35,36.0,32,OK
Kalamata,Kalamata,GR,55,0,1,1,0.7,0,THIN
Kavala,Kavala,GR,47,19,14,25,19.3,14,OK
Kefalonia,Kefalonia,GR,7,22,34,27,27.7,22,OK
Kornati & Šibenik,Kornati & Šibenik | Central Dalmatia,HR,3,44,43,42,43.0,42,OK
Kos,Kos,GR,9,50,15,0,21.7,0,OK
Kotor,Kotor,ME,6,1,1,2,1.3,1,THIN
Kvarner,Kvarner,HR,1,41,33,35,36.3,33,OK
Lefkada,Lefkada,GR,7,50,50,50,50.0,50,OK
Liguria,Liguria,IT,19,4,3,3,3.3,3,OK
Lisbon,Lisbon,PT,,19,17,21,19.0,17,OK
Madeira,Madeira,PT,,1,1,1,1.0,1,THIN
Makarska,Makarska,HR,5,5,3,0,2.7,0,THIN
Mallorca,Mallorca | Majorca,ES,63,47,46,36,43.0,36,OK
Marmaris,Marmaris,TR,26,50,50,50,50.0,50,OK
Montenegro,Montenegro | Bay of Kotor | Budva Riviera,ME,6,14,12,22,16.0,12,OK
North Dalmatia,North Dalmatia | Zadar Region,HR,2,46,44,48,46.0,44,OK
Northern Aegean,Northern Aegean,GR,47,43,30,38,37.0,30,OK
Peloponnese,Peloponnese,GR,55,4,10,5,6.3,4,OK
Portugal,Portugal,PT,,29,31,32,30.7,29,OK
Preveza,Preveza,GR,7,50,50,50,50.0,50,OK
Puglia,Puglia,IT,17,11,14,7,10.7,7,OK
Rhodes,Rhodes,GR,9,50,11,3,21.3,3,OK
Sardinia,Sardinia,IT,21,49,48,50,49.0,48,OK
Seychelles,Seychelles,SC,37,49,50,48,49.0,48,OK
Sibenik,Sibenik | Šibenik,HR,3,46,35,49,43.3,35,OK
Sicily,Sicily,IT,20,48,48,48,48.0,48,OK
Skiathos,Skiathos,GR,8,21,12,39,24.0,12,OK
Split & Central Dalmatia,Split & Central Dalmatia | Split,HR,5,40,36,45,40.3,36,OK
Sporades,Sporades,GR,8,50,42,50,47.3,42,OK
Thailand,Thailand | Phuket,TH,34,12,10,7,9.7,7,OK
Thessaloniki,Thessaloniki,GR,47,1,1,0,0.7,0,THIN
Tivat,Tivat,ME,6,8,6,14,9.3,6,OK
Trogir,Trogir,HR,5,25,23,43,30.3,23,OK
Turquoise Coast,Turquoise Coast,TR,26,50,50,50,50.0,50,OK
Tuscany,Tuscany,IT,19,46,46,46,46.0,46,OK
Valencia,Valencia,ES,48,1,4,3,2.7,1,THIN
Venice,Venice | Adriatic,IT,30,0,0,0,0.0,0,DEAD
Zadar,Zadar,HR,2,25,28,3,18.7,3,OK
